model,accuracy,f1,recall_class0,recall_class1,n_folds,elapsed_s
QK-SVM_trained,0.9655172413793104,0.96,1.0,0.9230769230769231,29,1155.9752926250003
GradientBoosting,0.9310344827586207,0.9230769230769231,0.9375,0.9230769230769231,29,0.3236865829967428
QK-SVM_angle,0.9310344827586207,0.9166666666666666,1.0,0.8461538461538461,29,31.273117041004298
RandomForest,0.896551724137931,0.88,0.9375,0.8461538461538461,29,1.7674822920016595
SVC_rbf,0.8620689655172413,0.8333333333333334,0.9375,0.7692307692307693,29,0.07565670800249791
VQC,0.8620689655172413,0.8333333333333334,0.9375,0.7692307692307693,29,124.58673799999815
QCNN,0.8620689655172413,0.8181818181818182,1.0,0.6923076923076923,29,217.11565391700424
