model,accuracy,f1,recall_class0,recall_class1,n_folds,elapsed_s
SVC_rbf,0.7586206896551724,0.7407407407407407,0.75,0.7692307692307693,29,0.6221160999848507
RandomForest,0.7241379310344828,0.6923076923076923,0.75,0.6923076923076923,29,11.393647200020496
GradientBoosting,0.6896551724137931,0.6896551724137931,0.625,0.7692307692307693,29,2.1967283000121824
