model,r2,q2,mae,rmse,elapsed_s
VQR_spsa_cobyla,0.6629858543688176,0.08732764417742311,2.946044372405276,5.5565145602446195,222.71524679199865
QCNN-R,0.6877831902963409,0.08498950499231195,3.237297687237187,5.563627514922764,385.3949491250023
QK-KRR_zzplus,0.998557962290775,-0.3505857167756383,3.9837276168980074,6.759367898144498,38.87003212499985
